"Race","Odds_Ratio","Lower_CI","Upper_CI","P_Value"
"AI/AN",1.39,0.98,1.91,0.0611
"Asian",0.68,0.54,0.84,0.000282
"Black",0.54,0.4,0.71,5.3e-06
"Hispanic",0.82,0.76,0.9,9.82e-06
"Two+ Races",0.81,0.68,0.97,0.0202
"NH/PI",0.39,0.15,0.81,0.00925
"White",1.34,1.24,1.45,2.35e-14
