"Race","Area","Total Exit","Withdrawn","Dismissed","Moved Out","Part B Eligible","Not Eligible","Not Determined"
"Alaska Native or American Indian","US and Outlying Areas",23783,3155,3262,1045,9035,4395,2480
"Asian","US and Outlying Areas",146252,21737,6559,8031,52840,26712,22848
"Black or African American","US and Outlying Areas",415873,48699,56155,14648,139607,65353,69687
"Hispanic or Latino","US and Outlying Areas",905971,109469,79951,26699,318999,165654,173416
"Two or More Races","US and Outlying Areas",135841,19195,11676,6477,50699,28996,15813
"Pacific Islander","US and Outlying Areas",10654,1467,977,559,3587,1911,1532
"White","US and Outlying Areas",1672185,242489,99922,65399,623690,402568,178843
