"","Race","Odds_Ratio","ci_lower","ci_upper"
"1","American Indian/Alaska Native",1.560518,1.07474,2.265865
"2","Asian",0.6424053,0.4883897,0.8449903
"3","Black/African American",1.252085,0.9763492,1.605692
"4","Hispanic",1.267882,1.154276,1.392668
"5","Native Hawaiian and Other Pacific Islander",1.330185,0.7472923,2.367736
"6","Two or More Races",0.7141278,0.5694253,0.8956023
"7","White",1,1,1
