"Race","Dismissed","Moved Out","Not Determined","Not Eligible","Part B Eligible","Withdrawn"
"AM",32,15,0,42,137,40
"AS",56,136,8,89,545,219
"BL",72,56,2,50,425,123
"HI",697,281,78,723,4302,907
"MU",84,90,13,142,836,263
"PI",13,8,2,6,75,20
"WH",1552,1063,165,2487,10797,3219
