"Race","Dismissed","Moved.Out","Not.Determined","Not.Eligible","Part.B.Eligible","Withdrawn"
"AM","12.03% (   32)","5.64% (   15)","0.00% (  0)","15.79% (   42)","51.50% (   137)","15.04% (   40)"
"AS","5.32% (   56)","12.92% (  136)","0.76% (  8)","8.45% (   89)","51.76% (   545)","20.80% (  219)"
"BL","9.89% (   72)","7.69% (   56)","0.27% (  2)","6.87% (   50)","58.38% (   425)","16.90% (  123)"
"HI","9.97% (  697)","4.02% (  281)","1.12% ( 78)","10.35% (  723)","61.56% ( 4,302)","12.98% (  907)"
"MU","5.88% (   84)","6.30% (   90)","0.91% ( 13)","9.94% (  142)","58.54% (   836)","18.42% (  263)"
"PI","10.48% (   13)","6.45% (    8)","1.61% (  2)","4.84% (    6)","60.48% (    75)","16.13% (   20)"
"WH","8.05% (1,552)","5.51% (1,063)","0.86% (165)","12.90% (2,487)","55.99% (10,797)","16.69% (3,219)"
