"","race","Dismissed","OtherExits"
"1","AM",32,235
"2","AS",56,999
"3","BL",72,659
"4","HI",697,6300
"5","MU",84,1348
"6","PI",13,112
"7","WH",1552,17786
"8","All Race Average",358,3919.85714285714
