"","Race","Odds_Ratio","ci_lower","ci_upper"
"1","American Indian/Alaska Native",1.876783,1.806008,1.950332
"2","Asian",0.5543598,0.5396222,0.5694998
"3","Black/African American",1.843126,1.817768,1.868837
"4","Hispanic",1.142779,1.12817,1.157576
"5","Native Hawaiian and Other Pacific Islander",1.192017,1.115164,1.274168
"6","Two or More Races",1.110257,1.086377,1.134662
"7","White",0.7503513,0.7411056,0.7597124
