"Primary Language","Dismissed","Moved.Out","Not.Determined","Not.Eligible","Part.B.Eligible","Withdrawn"
"Chinese","2.56% (    1)","12.82% (    5)","0.00% (  0)","17.95% (    7)","58.97% (    23)","7.69% (    3)"
"English","8.16% (2,337)","5.53% (1,582)","0.87% (248)","11.97% (3,427)","56.68% (16,230)","16.79% (4,808)"
"Other languages","7.05% (  309)","7.34% (  322)","1.07% ( 47)","9.69% (  425)","57.35% ( 2,515)","17.49% (  767)"
"Russian","5.77% (    3)","15.38% (    8)","0.00% (  0)","1.92% (    1)","53.85% (    28)","23.08% (   12)"
"Sign languages","12.50% (    1)","37.50% (    3)","0.00% (  0)","0.00% (    0)","50.00% (     4)","0.00% (    0)"
"Spanish","7.90% (  318)","2.98% (  120)","0.99% ( 40)","9.64% (  388)","65.86% ( 2,651)","12.62% (  508)"
"Vietnamese","4.44% (    6)","6.67% (    9)","0.00% (  0)","3.70% (    5)","66.67% (    90)","18.52% (   25)"
