"Race","Odds_Ratio","Lower_CI","Upper_CI","P_Value","Cohens_h"
"AI/AN",0.92,0.65,1.27,0.621,0.03
"Asian",1.39,1.19,1.62,3.7e-05,0.13
"Black",1.06,0.87,1.28,0.57,0.02
"Hispanic",0.73,0.68,0.79,9.99e-16,0.11
"Two+ Races",1.19,1.04,1.37,0.0133,0.07
"NH/PI",1.02,0.61,1.62,0.929,0.01
"White",1.15,1.08,1.23,3.53e-05,0.05
"Oregon Average",1,1,1,NA,NA
