"","Primary Language","Dismissed","Moved Out","Not Determined","Not Eligible","Part B Eligible","Withdrawn"
"1","English",2337,1582,248,3427,16230,4808
"2","Spanish",318,120,40,388,2651,508
"3","Other Languages and Ch/Ru/SL/Vi",320,347,47,438,2660,807
