"Population","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino","Native Hawaiian or Pacific Islander","Two or More Races","White"
"General Population",212000,674000,1799000,2953000,42000,738000,7895000
"EI Population",5842,36966,104046,232969,2557,35650,424383
