"Race","Odds_Ratio","Lower_CI","Upper_CI","P_Value","Cohens_h"
"AI/AN",1.03,0.59,1.68,0.903,0.01
"Asian",2.68,2.21,3.22,0,0.27
"Black",1.44,1.08,1.89,0.0132,0.09
"Hispanic",0.66,0.58,0.75,9.28e-11,0.09
"Two+ Races",1.16,0.93,1.44,0.189,0.03
"NH/PI",1.2,0.54,2.31,0.624,0.04
"White",1,0.9,1.1,0.933,0
