"Race","Odds_Ratio","Lower_CI","Upper_CI","P_Value"
"AI/AN",0.92,0.65,1.27,0.621
"Asian",1.39,1.19,1.62,3.7e-05
"Black",1.06,0.87,1.28,0.57
"Hispanic",0.73,0.68,0.79,9.99e-16
"Two+ Races",1.19,1.04,1.37,0.0133
"NH/PI",1.02,0.61,1.62,0.929
"White",1.15,1.08,1.23,3.53e-05
